strain	virus	date	country	continent	division	location	host_type	length	authors	source	lineage	lineage_truncated
CY153778.1	Influenza B virus	2010-11-09	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153770.1	Influenza B virus	2010-11-03	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	A	A
CY153754.1	Influenza B virus	2010-10-25	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY153746.1	Influenza B virus	2010-10-20	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY150242.1	Influenza B virus	2010-10-17	Australia	Oceania			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Zhou,B., Bera,J., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Barr,I., Dhanasekaran,V., Deng,Y.M., Hurt,A., Komadina,N., Smith,G., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY188769.1	Influenza B virus	2010-08-21	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Gresh,L., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	B	B
CY188753.1	Influenza B virus	2010-08-19	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Gresh,L., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	B	B
CY188761.1	Influenza B virus	2010-08-14	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Gresh,L., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	B	B
CY188745.1	Influenza B virus	2010-08-04	Nicaragua	North America			Homo sapiens	1850	Wentworth,D.E., Halpin,R.A., Lin,X., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Gresh,L., Bao,Y., Sanders,R., Zhdanov,S., Kiryutin,B., Lipman,D.J., Tatusova,T., Gordon,A.	ncbi	B	B
CY112230.1	Influenza B virus	2010-03-15	Mongolia	Asia			Homo sapiens	1840	Naranzul,T., Enkhsaikhan,D., Nymaa,G., Nymadawa,P.	ncbi	B	B
KR733264.1	Influenza B virus	2010-12-24	Taiwan	Asia			Homo sapiens	1838	Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.	ncbi	B	B
KR733263.1	Influenza B virus	2010-07-29	Taiwan	Asia			Homo sapiens	1838	Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.	ncbi	B	B
KR733262.1	Influenza B virus	2010-01-18	Taiwan	Asia			Homo sapiens	1838	Shih,S.-R., Velu,A.B., Kuo,S.-M., Dash,S., Chen,G.-W., Han,Y.-J., Tsao,K.-C.	ncbi	B	B
JX513158.1	Influenza B virus	2010-04-29	Thailand	Asia			Homo sapiens	1825	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JX513118.1	Influenza B virus	2010-12-08	Thailand	Asia			Homo sapiens	1814	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
CY109202.1	Influenza B virus	2010-02-21	China	Asia			Homo sapiens	1810	Zhu,N., Li,P., Yu,J., Li,Y., Zhao,J., Xia,H., Tang,S., Zhang,Z., Kou,Z., Yin,S., Fan,Z., Li,T.	ncbi	B	B
CY109210.1	Influenza B virus	2010-01-09	China	Asia			Homo sapiens	1810	Zhu,N., Li,P., Yu,J., Li,Y., Zhao,J., Xia,H., Tang,S., Zhang,Z., Kou,Z., Yin,S., Fan,Z., Li,T.	ncbi	B	B
JX512974.1	Influenza B virus	2010-02-24	Thailand	Asia			Homo sapiens	1803	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JF965355.1	Influenza B virus	2010-04-08	India	Asia			Homo sapiens	1801	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	A	A
JF693249.1	Influenza B virus	2010-02-03	India	Asia			Homo sapiens	1801	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	A	A
CY100689.1	Influenza B virus	2010-10-11	Nicaragua	North America			Homo sapiens	1800	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
JX513038.1	Influenza B virus	2010-09-01	Thailand	Asia			Homo sapiens	1799	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
CY100761.1	Influenza B virus	2010-08-20	Nicaragua	North America			Homo sapiens	1795	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY100673.1	Influenza B virus	2010-08-11	Nicaragua	North America			Homo sapiens	1795	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY100721.1	Influenza B virus	2010-07-04	Nicaragua	North America			Homo sapiens	1795	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY109194.1	Influenza B virus	2010-01-06	China	Asia			Homo sapiens	1795	Zhu,N., Li,P., Yu,J., Li,Y., Zhao,J., Xia,H., Tang,S., Zhang,Z., Kou,Z., Yin,S., Fan,Z., Li,T.	ncbi	B	B
JN588966.1	Influenza B virus	2010-10-10	Cambodia	Asia			Homo sapiens	1794	Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.	ncbi	B	B
JN588968.1	Influenza B virus	2010-10-06	Cambodia	Asia			Homo sapiens	1794	Mardy,S., Ly,S., Heng,S., Naughtin,M., Vong,S., Kitsutani,P., Vanra,I., Rith,S., Tarantola,A., Sar,B., Nora,C., Sokhal,B., Se,Y., Timmermans,A., Lon,C., Barr,I., Kelso,A., Tyner,S., Saunders,D., Ung,S.A., Asgari,N., Touch,S., Buchy,P.	ncbi	B	B
CY101058.1	Influenza B virus	2010-09-08	Nicaragua	North America			Homo sapiens	1794	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY100737.1	Influenza B virus	2010-09-04	Nicaragua	North America			Homo sapiens	1794	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY099809.1	Influenza B virus	2010-08-29	Nicaragua	North America			Homo sapiens	1794	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY099785.1	Influenza B virus	2010-07-08	Nicaragua	North America			Homo sapiens	1794	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY099777.1	Influenza B virus	2010-07-26	Nicaragua	North America			Homo sapiens	1793	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
CY099849.1	Influenza B virus	2010-06-04	Nicaragua	North America			Homo sapiens	1793	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
JX513182.1	Influenza B virus	2010-11-17	Thailand	Asia			Homo sapiens	1792	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
CY100697.1	Influenza B virus	2010-10-08	Nicaragua	North America			Homo sapiens	1792	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Hostetler,J., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Katzel,D., Li,K., Amedeo,P., Schobel,S., Shrivastava,S., Wang,S., Thovarai,V., Bishop,B., Edworthy,P., Kim,M., Gordon,A., Harris,E., Balmaseda,A., Saborio,S., Guillermina,K., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.	ncbi	B	B
JX513174.1	Influenza B virus	2010-09-30	Thailand	Asia			Homo sapiens	1792	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JX512990.1	Influenza B virus	2010-03-20	Thailand	Asia			Homo sapiens	1791	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JX512998.1	Influenza B virus	2010-06-04	Thailand	Asia			Homo sapiens	1790	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JX513166.1	Influenza B virus	2010-08-05	Thailand	Asia			Homo sapiens	1789	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JX513150.1	Influenza B virus	2010-02-01	Thailand	Asia			Homo sapiens	1788	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JX512982.1	Influenza B virus	2010-03-05	Thailand	Asia			Homo sapiens	1786	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
JF912205.1	Influenza B virus	2010-03-20	Taiwan	Asia			Homo sapiens	1785	Chang,C.-M., Tseng,Y.-L., Tsao,K.-C., Huang,C.-G.	ncbi	B	B
JX513110.1	Influenza B virus	2010-10-05	Thailand	Asia			Homo sapiens	1784	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	A	A
JX513014.1	Influenza B virus	2010-07-09	Thailand	Asia			Homo sapiens	1784	Suwannakarn,K., Vichaiwattana,P., Korkong,S., Theamboonlers,A., Poovorawan,Y.	ncbi	B	B
JF693250.1	Influenza B virus	2010-03-16	India	Asia			Homo sapiens	1773	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	B	B
JF965353.1	Influenza B virus	2010-03-11	India	Asia			Homo sapiens	1773	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	B	B
JF965352.1	Influenza B virus	2010-01-22	India	Asia			Homo sapiens	1773	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	B	B
JF693251.1	Influenza B virus	2010-06-08	India	Asia			Homo sapiens	1772	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	B	B
JF965354.1	Influenza B virus	2010-03-24	India	Asia			Homo sapiens	1772	Roy,T., Agrawal,A.S., Mukherjee,A., Mishra,A.C., Chadha,M.S., Kaur,H., Chawla-Sarkar,M.	ncbi	B	B
JN872385.1	Influenza B virus	2010-12-29	Brazil	South America			Homo sapiens	1758	Santos,C.L.S., Borborema,S.E.T., Correa,K.O., Silva,D.B.B., Oliveira,M.I., Paiva,T.M.	ncbi	B	B
KF705488.1	Influenza B virus	2010-12-20	India	Asia			Homo sapiens	1758	Patil,K.N., Bhise,A.B., Dakhave,M.R., Kadam,A.A., Chadha,M.S., Potdar,V.A., Lohar,S.R., Hinge,D.D.	ncbi	A	A
KF705481.1	Influenza B virus	2010-11-30	India	Asia			Homo sapiens	1758	Patil,K.N., Bhise,A.B., Dakhave,M.R., Kadam,A.A., Chadha,M.S., Potdar,V.A., Lohar,S.R., Hinge,D.D.	ncbi	A	A
OP861884.1	Influenza B virus	2010-10-26	Nepal	Asia			Homo sapiens	1758	Shrestha,S.K., Laxmi Shakya,Y., Pandey,P., Krishna Chandyo,R., Ram Shrestha,B., Bahadur Thapa,A., Pradhan,S., Bastola,A., Bahadur Thapa,B., Krishna Shrestha,S., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	A	A
OP861883.1	Influenza B virus	2010-10-10	Nepal	Asia			Homo sapiens	1758	Shrestha,S.K., Laxmi Shakya,Y., Pandey,P., Krishna Chandyo,R., Ram Shrestha,B., Bahadur Thapa,A., Pradhan,S., Bastola,A., Bahadur Thapa,B., Krishna Shrestha,S., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	B	B
OP861880.1	Influenza B virus	2010-10-04	Nepal	Asia			Homo sapiens	1758	Shrestha,S.K., Laxmi Shakya,Y., Pandey,P., Krishna Chandyo,R., Ram Shrestha,B., Bahadur Thapa,A., Pradhan,S., Bastola,A., Bahadur Thapa,B., Krishna Shrestha,S., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	A	A
OP861879.1	Influenza B virus	2010-10-03	Nepal	Asia			Homo sapiens	1758	Shrestha,S.K., Laxmi Shakya,Y., Pandey,P., Krishna Chandyo,R., Ram Shrestha,B., Bahadur Thapa,A., Pradhan,S., Bastola,A., Bahadur Thapa,B., Krishna Shrestha,S., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	B	B
OP861878.1	Influenza B virus	2010-09-30	Nepal	Asia			Homo sapiens	1758	Shrestha,S.K., Laxmi Shakya,Y., Pandey,P., Krishna Chandyo,R., Ram Shrestha,B., Bahadur Thapa,A., Pradhan,S., Bastola,A., Bahadur Thapa,B., Krishna Shrestha,S., Chinnawirotpisan,P., Phonpakobsin,T., Rodpradit,P., Joonlasak,K., Manasatienkij,W., Klungthong,C., Fernandez,S.	ncbi	B	B
